fk_item,total_revenue
d06e9a5bbdbe9609f981e9b0a5a02fb9,1365955.2500000016
1c9330ab345e51f537d11690248ed8a1,1352345.9147999962
a57e314cc7e2330f1ae3ed626787a43c,1140147.2900000052
6e2788ea4fbde8f79bf908fc1d06a79c,1086103.7431000038
849e9ff3351418b443d5d93b8dca2380,1068596.3299999943
c7864360e1c1a27bdc4e28294dc3082f,1044131.8399999986
0f89562a368bb1e822b7b3075fa7e18c,967971.1600000018
84f1682e5e7f23f5336afaaf634da310,900348.649999995
95bd8e77c045c2d6cec27fb8a9c0c8b4,833668.5299999992
d1805029d05088f03f7ee1bf7fbaf632,803671.7199999994
23be8496b29f21a2cfd660c887f6b30f,741628.5499999984
ff328177770a2cb8df4fd3588af3dd5e,728687.9803999993
83954234cc5f62430f4b1bc94d27ba09,704806.8899999994
230e9e352f92a401f77718b1be7f8bc8,687732.9599999996
2e45a89812e13cdcc6f61a9027da1f03,686830.0300000006
e4316b915fdfc45dbd04c2cb33c6acdc,677151.9299999997
fa6d76279164f027e95b5fa0572143bb,658353.9013999997
bc2decfa5c0c0450fd67c966608de590,623479.4
b00d17e6b0ba9c5700aa0ad0acb69251,601391.4899999993
cc36b3b7f79ebf725f4b56696e71b51e,600304.9199999997
dc3710567650e9d59a621c71e4483778,597812.3300000003
d0fa04365ac77af8399ce9ec5f41103c,590398.1399999997
94408451c43b35991e7c3a577f890474,575572.6700000002
b75b955396cfe97ce58e0fdb9b624954,564155.9282000003
e868edf11a46e8c4029458d747c912d2,556694.5799999997
10788a8cd8a762a275c6ccc41150362a,549324.3699999986
01a45582454a3115578599da18c73634,527436.5299999984
9505edc487671550b2a507f31f4a9243,526130.5500000005
2f039d8c907a9c41754a2d11cc799ac1,510482.5556999983
da30e63283b868ccd5abdedacdc6cffc,468296.11999999883
99ee6cc6b27a74157a7a54498813f77f,467816.1899999997
9c6e3cff9ff37683f3fac6342672645a,463919.47999999986
57d10494fa3f9a5d73a93bbdfd2d8601,459167.3300000002
6708f67aef41a8d2c3cc17f49ae88533,453519.43999999977
033835657adffe5ee44f861fc31a381a,438893.959999999
8d1d10a430559c93da82b1184a22b8a1,435904.289100001
9b9ce72509ceee959ac5e2db088df58c,430299.3600000002
2d050a2dd9f1c894e35a18c449664b2b,422365.1900000005
1a552df33118159504e029c96506af7f,411419.31999999954
1f0b3042d6f727b9999a90131000658d,399777.97999999975
28e368852133c3f7c1d598a6041ffc21,380597.94000000006
fddabaa5371c4503bfe71a2404c1b39f,366600.12999999983
4a06d7e5f529b56424607c68302f4bb2,364190.3099999987
a44aee5c89b9773c058bb4c5c3912b93,363431.97
5260a793a98c9da63ee0122f86cc6092,359120.5399999988
0372fd0b3db8cb7774aecf60b83092dc,356385.94
9e7babd7f63e9f53b0dcadcd91e2e4e3,353904.88
578e17356025b943146294b334c7947c,351356.64999999985
40cee79afc0fbebe1ecfc4db7b15efaf,350403.9500000007
10efba72a05adbf32f9ed28fc9242465,350232.15
935411b0bf102e48b184027fbbe74846,349114.4499999995
016288132a46d92460245bd4c1df95fb,348780.44000000024
c9d528afa457a0092c7ad3f48ce5e14d,345114.74000000063
910ce7fc300ada905ffd67a2ab7198e8,343769.2699999995
9df4b1741050cb21f486e2d6212155be,340825.9900000001
006e12281d6aa342fca882f3a2b8f914,333448.78999999946
5a6cd6c4f581c8a72a65b0418a84275a,330736.5599999996
e1c80bb5797d61ab70dc98db6bdf9990,318472.4299999998
181cfd8092b6fbf00098688c9d546487,316313.38
80b653dc0aeda8965988f0b933e25a2a,308731.5399999989
b011455c6ece80cd98955dce4df749c6,299943.4799999999
29690d1c5d3e90aaf9aa060a6a467861,298116.11999999994
c85c823d517e89d2f1b51d0eb4738a2c,297761.55999999976
88de559208a288ed024b479cfbdd3046,292229.6199999998
644cb105e592a27450e36620e12b1cac,285714.8399999998
1cb57a8cbd28812d0260db2f00b6d7f1,285095.81999999983
4c2530af1cffe3bdab38adb6ba1a55d1,275412.2799999984
f0e964c7bd210185d75e5333811f14ac,263692.1686000001
0a1d717fabb9d630b2c4bfd753999db0,261192.3499999999
a453bd21ae18f4cda2db01f25d710d95,260470.31000000006
bd27c25afa2dfa593a83e1d00de6d294,257559.62999999998
526b7c5d52c5d81ec7ac6b451e25cea3,257534.29000000004
7e33de3cacbe254128e7ce1681122006,257006.04429999995
df06a56c6db7d7225c8abba0badbb529,256740.8599999998
ee6f3591b2593031b88747e81be2b4fc,254594.2700000003
f6d3ac337901177d8f1ed8c4d398cc82,253957.34999999983
de69a1f3822c2307197c10e0cd5d2a7f,249678.47000000012
c5bfe4f356ddf73f1becccb448701e7a,239195.94999999987
0c4013febbf45b0cb61149ef6079bd3c,237594.82999999964
b46951b9263593cae1fbe38cf2c889df,236928.0199999996
2de640269525b9b7147f118e2786a4b5,236324.23999999996
5266228e5c79d11e3a46c069bfbab074,235271.88119999933
2616494b8cbe64a0abd4d0374e6fb60d,234919.06999999945
